maphuong,maquan,susceptible,exposed,infectious,recovered,deceased
76026734,760,28048,1,0,0,0
76026740,760,13161,0,0,0,0
76026752,760,12534,0,0,0,0
76026746,760,12337,0,0,0,0
76026755,760,14792,0,0,0,0
76026761,760,15087,0,0,0,0
76026758,760,22685,0,0,0,0
77327259,773,12,0,0,0,0
76026749,760,17553,0,0,0,0
77027121,770,16,0,0,0,0
77027124,770,12,0,0,0,0
77027151,770,15,0,0,0,0
77027157,770,12,0,0,0,0
77027148,770,20,0,0,0,0
77027154,770,10,0,0,0,0
77327256,773,7,1,0,0,0
77327268,773,15,0,0,0,0
77327283,773,17,0,0,0,0
77327286,773,11,0,0,0,0
77327292,773,11,0,0,0,0
77327274,773,5,0,0,0,0
77327265,773,10,0,0,0,0
77327295,773,13,0,0,0,0
77327280,773,17,0,0,0,0
77327289,773,20,0,0,0,0
77327277,773,10,0,0,0,0
76927103,769,4505,0,0,0,0
77427301,774,11601,0,0,0,0
77427307,774,7925,0,0,0,0
77527376,775,25,0,0,0,0
76927091,769,30036,0,0,0,0
76526962,765,14,0,0,0,0
76927088,769,18425,0,1,0,0
77527361,775,15,0,0,0,0
77527352,775,13,0,0,0,0
77527355,775,16,0,0,0,0
76026737,760,20831,0,0,0,0
77527367,775,9,0,0,0,0
77427331,774,13805,0,0,0,0
77427316,774,8826,0,0,0,0
77527358,775,28,0,0,0,0
77527364,775,26,0,0,0,0
77427304,774,16309,0,0,0,0
78527616,785,57,0,0,0,0
77527382,775,14,0,0,0,0
77627433,776,34,0,0,0,0
77627427,776,44,0,0,0,0
77627424,776,34,0,0,0,0
77627430,776,40,0,0,0,0
77727460,777,73851,0,0,0,0
77527385,775,23,0,0,0,0
77627421,776,21,0,0,0,0
77527379,775,10,0,0,0,0
77527370,775,12,0,0,0,0
77427343,774,10025,0,0,0,0
77627412,776,9,0,0,0,0
77427319,774,11144,0,0,0,0
77227253,772,15294,0,0,0,0
77227250,772,12854,0,0,0,0
77227247,772,14349,0,0,0,0
77227217,772,14279,0,0,0,0
77527346,775,23,0,0,0,0
77227220,772,24749,0,0,0,0
77227211,772,31081,0,0,0,0
77227214,772,18223,1,0,0,0
77227229,772,14576,0,0,0,0
77227235,772,10514,0,0,0,0
77227241,772,11141,0,0,0,0
77227244,772,10745,0,0,0,0
77127202,771,8694,0,0,0,0
77127199,771,11147,0,0,0,0
77127187,771,11793,0,0,0,0
77127205,771,6587,0,0,0,0
77127190,771,19130,0,0,0,0
77127193,771,14057,0,0,0,0
77127175,771,11899,0,0,0,0
77127172,771,22623,0,0,0,0
77227226,772,13929,0,0,0,0
77227208,772,11977,0,0,0,0
77127169,771,29247,0,0,0,0
76626995,766,29,0,0,0,0
